Listid,Listname,listPublished,Published,Sectorcode,Status,Competitorid,Fiscode,Lastname,Firstname,Nationcode,Gender,Birthdate,Skiclub,Nationalcode,Competitorname,Birthyear,Calculationdate,DHpoints,DHpos,DHSta,SLpoints,SLpos,SLSta,GSpoints,GSpos,GSSta,SGpoints,SGpos,SGSta,ACpoints,ACpos,ACSta
412,"21st FIS points list 2024/25",1,1,AL,O,283026,820069,.,Umer,PAK,M,2006-02-10,,,". Umer",2006,15-04-2025,,,,680.26,6051,*,454.43,5974,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,236444,120097,"A KE",Zhuoli,CHN,M,1998-09-02,,,"A KE Zhuoli",1998,15-04-2025,,,,,,,929.75,6197,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,279039,507467,AABERG,Nora,SWE,W,2007-05-14,"Sundsvalls SLK",SWE,"AABERG Nora",2007,15-04-2025,,,,200.01,3297,*,217.18,3418,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,287702,426606,AADNESEN,"Julie Traegde Hauger",NOR,W,2008-07-25,"Ljan Alpin",03,"AADNESEN Julie Traegde Hauger",2008,15-04-2025,,,,83.56,1625,,110.05,2192,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,222777,422781,AAGESEN,Tinius,NOR,M,2001-09-17,"Freidig Alpin",16,"AAGESEN Tinius",2001,15-04-2025,999.99,2227,*,26.59,327,*,26.36,278,*,297.39,3081,*,999.99,1221,*
412,"21st FIS points list 2024/25",1,1,AL,O,284490,502876,AAHLEN,Vincent,SWE,M,2008-03-04,"Tunafors Slalomklubb Eskilstuna",SWE,"AAHLEN Vincent",2008,15-04-2025,,,,99.19,3049,,117.46,3629,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,228310,502523,AAHS,Albin,SWE,M,2002-06-13,"Sollentuna Slk",SWE,"AAHS Albin",2002,15-04-2025,325.35,1958,*,39.60,776,*,43.32,926,*,257.72,2881,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,202606,502327,AAKERSTROEM,Joel,SWE,M,1999-04-22,"Oestersund Froesoe slk",SWE,"AAKERSTROEM Joel",1999,15-04-2025,158.88,1333,*,148.28,4260,*,160.32,4557,*,123.84,1563,*,999.99,1221,*
412,"21st FIS points list 2024/25",1,1,AL,O,228265,507139,AAKERSTROEM,Sara,SWE,W,2002-02-07,"Oestersund Froesoe slk",SWE,"AAKERSTROEM Sara",2002,15-04-2025,,,,209.60,3373,*,246.71,3586,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,274632,900010,AALTO,"Tommi Iimo Emil",THA,M,2005-05-23,SSAT,THA,"AALTO Tommi Iimo Emil",2005,15-04-2025,,,,133.56,3937,,151.06,4381,,,,,,,
